ordinal,class,stage_number,stage,proof_root,proof_title,theorem_statement,reader_principle,result
116,Primary,3,FOUR FORCE CARRIERS AND PARENT ACTION,theorem_operator_source_boundary_compression,OPERATOR SOURCE BOUNDARY COMPRESSION THEOREM,Lift the common source-shadow compression law to one exact spectral operator on the complete seventeen-component parent carrier.,"The four generated interaction sectors are not assigned four unrelated scale laws. Their internally generated response ratios are the four eigenvalues of one exact operator on the complete seventeen-component parent carrier. The generated sector projectors are mutually orthogonal, sum to the parent identity, and give an exact power calculus for every native depth.",TRUE
117,Primary,3,FOUR FORCE CARRIERS AND PARENT ACTION,theorem_log_free_shadow_residual_isomorphism,LOG FREE SHADOW RESIDUAL ISOMORPHISM THEOREM,"Prove the exact rational bijection between bounded shadow states and multiplicative residual states, including the source-shadow compression law without evaluating a logarithm.",The native state is the exact residual ratio (one minus shadow) divided by shadow. Projective shadow compression is therefore multiplication in residual space. Additive depth is an optional observer coordinate and is not needed by the source dynamics.,TRUE
118,Primary,3,FOUR FORCE CARRIERS AND PARENT ACTION,theorem_parent_covariant_residual_field_equation,PARENT COVARIANT RESIDUAL FIELD EQUATION THEOREM,Lift the scalar source-shadow compression identity to one exact rational covariant residual field equation on the complete seventeen-component parent carrier.,"One equation evolves the exact residual carried by the bounded source-shadow state. The compression operator changes residual magnitude, the parent transport changes local frame, and the inverse residual map returns the next bounded shadow. The scalar master map and the four common force orbits are exact reductions.",TRUE
119,Primary,3,FOUR FORCE CARRIERS AND PARENT ACTION,theorem_generated_sector_spectral_edge_cocycle,GENERATED SECTOR SPECTRAL EDGE COCYCLE THEOREM,"Derive the complete four-sector positive edge-compression operator from generated response eigenvalues and the finite temporal scale ratio, and prove identity, reversal, projector commutation, and path composition.","The parent edge operator is not an arbitrary matrix. Every sector factor is generated from its exact response eigenvalue, while the gravitational factor also carries the unique target-over-source temporal scale ratio. Orthogonal projectors make identity, reversal and path composition exact.",TRUE
120,Primary,3,FOUR FORCE CARRIERS AND PARENT ACTION,theorem_covariant_residual_update_existence_uniqueness,COVARIANT RESIDUAL UPDATE EXISTENCE UNIQUENESS THEOREM,Prove that the generated positive edge operator and invertible parent transport determine one and only one residual target and one and only one bounded shadow target.,Existence is constructive: multiply the transported source residual by the generated edge operator and invert I plus that residual. Uniqueness follows because both the transport and edge operator are invertible and the residual-shadow map is a bijection.,TRUE
121,Primary,3,FOUR FORCE CARRIERS AND PARENT ACTION,theorem_covariant_residual_bounded_domain_preservation,COVARIANT RESIDUAL BOUNDED DOMAIN PRESERVATION THEOREM,Prove positivity of the residual and strict boundedness of the shadow under every generated sector-spectral edge update on the declared block carrier.,"The source residual is positive on each canonical block. Orthogonal transport preserves its quadratic form, and the generated edge operator is a positive block scalar that commutes with the transported block. Therefore the target residual remains positive and X=(I+R)^-1 remains a strict bounded shadow.",TRUE
122,Primary,3,FOUR FORCE CARRIERS AND PARENT ACTION,theorem_sector_spectral_gauge_covariance,SECTOR SPECTRAL GAUGE COVARIANCE THEOREM,Prove full two-end gauge covariance with the generated non-scalar sector-spectral edge operator rather than only a common scalar compression.,Every local gauge frame preserves the canonical sector projectors. The generated edge operator is scalar on each projector block and therefore commutes with both endpoint frames. The complete non-scalar four-sector equation consequently transforms by target conjugation.,TRUE
123,Primary,3,FOUR FORCE CARRIERS AND PARENT ACTION,theorem_covariant_residual_exact_path_groupoid,COVARIANT RESIDUAL EXACT PATH GROUPOID THEOREM,"Prove identity edges, inverse edges, arbitrary three-edge composition and closed-loop residual holonomy for the generated sector-spectral covariant update.","Generated edge compressions form a multiplicative cocycle and generated frame transports form an ordered groupoid. Their combined residual update has exact identity, inverse and composition laws. A closed path carries no net compression but may retain a nontrivial frame holonomy, which is the finite curvature signal.",TRUE
124,Primary,3,FOUR FORCE CARRIERS AND PARENT ACTION,theorem_covariant_residual_edge_domain_completion,COVARIANT RESIDUAL EDGE DOMAIN COMPLETION THEOREM,"Conjoin generated edge spectrum, constructive update, bounded positivity, covariance, inversion, composition, and holonomy.","The central residual equation defines a complete edge dynamics: its generated spectrum composes, every admissible source has one target, positivity remains inside the bounded-shadow domain, endpoint frames transform covariantly, and reversed or concatenated paths are exact.",TRUE
125,Primary,3,FOUR FORCE CARRIERS AND PARENT ACTION,theorem_plaquette_holonomy_curvature_coefficient,PLAQUETTE HOLONOMY CURVATURE COEFFICIENT THEOREM,Extract the exact second-order commutator coefficient of a plaquette holonomy in a truncated rational polynomial ring without exponential or logarithmic functions.,"Write each link as I plus epsilon times its exact rational generator and invert it coefficient by coefficient. The constant plaquette coefficient is I, the linear coefficient cancels, and the quadratic coefficient is the generator commutator. Adding edge variation gives the exterior-difference part, so the continuum parent curvature has the form dOmega plus Omega wedge Omega.",TRUE
126,Primary,3,FOUR FORCE CARRIERS AND PARENT ACTION,theorem_parent_covariant_residual_gauge_covariance,PARENT COVARIANT RESIDUAL GAUGE COVARIANCE THEOREM,Prove exact vertex-gauge covariance of the parent covariant residual field equation under independently generated rational frame changes at both ends of an edge.,Changing the local parent frame independently at the source and target conjugates the residual states and changes the edge transport by the usual two-end rule. The compression equation transforms by target conjugation and therefore represents one frame-independent parent law.,TRUE
127,Primary,3,FOUR FORCE CARRIERS AND PARENT ACTION,theorem_parent_covariant_residual_path_composition,PARENT COVARIANT RESIDUAL PATH COMPOSITION THEOREM,"Prove the exact path-composition law, sector-preserving cocycle, and finite holonomy defect of the covariant residual field equation.",Successive residual transports compose by multiplying their compression operators and ordered frame transports. A closed path returns exactly only when its parent holonomy is the identity; otherwise the finite loop defect is the curvature precursor.,TRUE
128,Primary,3,FOUR FORCE CARRIERS AND PARENT ACTION,theorem_temporal_external_internal_curvature_split,TEMPORAL EXTERNAL INTERNAL CURVATURE SPLIT THEOREM,"Split one temporal compression operator into a universal external metric projector and three orthogonal internal gauge projectors, with no independently inserted force generator.","One temporal compression operator splits into three internal gauge projectors and one universal metric projector. A common unit shift is flat, whereas local relative compression creates curvature.",TRUE
129,Primary,3,FOUR FORCE CARRIERS AND PARENT ACTION,theorem_single_temporal_parent_variation_four_force,SINGLE TEMPORAL PARENT VARIATION FOUR FORCE THEOREM,Prove that one time-generated parent operator and one covariant parent action split under a single variation into the universal gravity equation and the three internal gauge equations.,One parent action and one time-generated compression operator yield one universal metric variation and three internal gauge variations; four unrelated force actions are not inserted.,TRUE
130,Primary,3,FOUR FORCE CARRIERS AND PARENT ACTION,theorem_response_function_continuous_bilinear_uniqueness,RESPONSE FUNCTION CONTINUOUS BILINEAR UNIQUENESS THEOREM,"Prove that separate degree-one homogeneity, zero-factor vanishing, positivity, and unit normalization force the action-residue response to be the bilinear product on positive rationals and its continuous positive-real extension.","A propagating response must disappear if either the action burden or the Green residue disappears. Separate unit homogeneity then transports the normalized value at one and one to every positive pair, forcing the product law rather than selecting it from a short list of monomials.",TRUE
131,Primary,3,FOUR FORCE CARRIERS AND PARENT ACTION,theorem_preshielded_formula_grammar,PRESHIELDED FORMULA GRAMMAR THEOREM,"Freeze the typed formula grammar, derive the response normalization uniquely, and seal new target-free parent-shadow invariants before any external comparison.","Only typed maps that preserve the parent meaning are permitted. Unrelated primitives cannot be combined, exponents must equal an actual interaction multiplicity, response must vanish when either required factor vanishes, and the only symmetric scale-free unit-sum decoder divides by the total response.",TRUE
132,Primary,3,FOUR FORCE CARRIERS AND PARENT ACTION,theorem_gauge_quotient_full_faithful_transport,GAUGE QUOTIENT FULL FAITHFUL TRANSPORT THEOREM,"Prove that every generated gauge morphism, orbit, invariant action, and physical observable transports bijectively through a complete source-shadow projection.","Gauge transformations are transported by conjugation through the complete projection rather than guessed independently in the shadow. The transport preserves products, inverses, orbits, stabilizers, constraints, invariant actions, and physical observable algebras.",TRUE
133,Primary,3,FOUR FORCE CARRIERS AND PARENT ACTION,theorem_source_action_variation_pushforward,SOURCE ACTION VARIATION PUSHFORWARD THEOREM,"Prove exact commutation of source variation, shadow pushforward, and measure reconstruction for an invertible complete projection family.",The shadow Hessian is the exact inverse-congruence image of the source Hessian. Actions agree and pulling the shadow gradient back gives the source variation for every source vector.,TRUE
134,Primary,3,FOUR FORCE CARRIERS AND PARENT ACTION,theorem_canonical_force_algebra_representation_completion,CANONICAL FORCE ALGEBRA REPRESENTATION COMPLETION THEOREM,"Prove that the anonymous ranks five, one, three and eight admit the exact gravity, U(1), SU(2), and SU(3) algebraic roles before measured couplings are used.","The canonical anonymous decomposition is not identified by dimension alone. Exact commutator closure, Jacobi identities, invariant trace form, spin-two action and anomaly cancellation supply the algebraic operational signatures.",TRUE
135,Primary,4,CHIRAL MATTER AND GENERATIONS,_mfc_minimal_chiral_matter_carrier_theorem,MINIMAL CHIRAL MATTER CARRIER THEOREM,"Derive one minimal sixteen-state chiral matter carrier from the eight double-zero microstates, two orientations, and the generated weak and color module dimensions.","Derive one minimal sixteen-state chiral matter carrier from the eight double-zero microstates, two orientations, and the generated weak and color module dimensions.",TRUE
136,Primary,4,CHIRAL MATTER AND GENERATIONS,_mfc_hypercharge_anomaly_cancellation_theorem,HYPERCHARGE AND ANOMALY CANCELLATION THEOREM,"Derive the primitive charge-ratio solution and prove exact gauge, gravitational, cubic, and global weak anomaly cancellation in the declared minimal matter carrier.","Derive the primitive charge-ratio solution and prove exact gauge, gravitational, cubic, and global weak anomaly cancellation in the declared minimal matter carrier.",TRUE
137,Primary,4,CHIRAL MATTER AND GENERATIONS,_mfc_three_generation_projector_theorem,THREE GENERATION PROJECTOR THEOREM,Derive exactly three nonvacuum closure-depth sectors from the primitive time spectrum and construct their exact spectral projectors.,Derive exactly three nonvacuum closure-depth sectors from the primitive time spectrum and construct their exact spectral projectors.,TRUE
138,Primary,4,CHIRAL MATTER AND GENERATIONS,theorem_time_spectrum_three_generation_global_uniqueness,TIME SPECTRUM THREE GENERATION GLOBAL UNIQUENESS THEOREM,Prove that the three nonvacuum temporal projectors are the unique spectral idempotents of the generated simple three-pole spectrum.,"The unique unit vacuum pole is removed from the generated four-pole temporal spectrum, leaving exactly three nonvacuum poles, equal to the generated spatial rank. The nonzero Vandermonde determinant makes every degree-below-three spectral projector polynomial unique and reconstructs the transfer operator exactly.",TRUE
139,Primary,4,CHIRAL MATTER AND GENERATIONS,theorem_native_generation_count_provenance,NATIVE GENERATION COUNT PROVENANCE THEOREM,"Prove that the generation count is the common rank of the three outer source blocks, the nonvacuum temporal spectrum, and generated space.","The three generations are not entered as a number. They are the common rank of the three outer source blocks, the three nonvacuum temporal projectors, and the generated spatial residual basis.",TRUE
140,Primary,4,CHIRAL MATTER AND GENERATIONS,theorem_target_free_standard_field_decoder,TARGET FREE STANDARD FIELD DECODER THEOREM,Generate the complete chiral role multiplicities and charge ratios before assigning conventional field names.,The sixteen-state chiral carrier is first partitioned into anonymous algebraic roles. Conventional particle names are attached only after multiplicity and the primitive anomaly-free charge ray have already been derived.,TRUE
141,Primary,4,CHIRAL MATTER AND GENERATIONS,theorem_temporal_generation_spectral_ratio,TEMPORAL GENERATION SPECTRAL RATIO THEOREM,Execute the exact certificate for TEMPORAL GENERATION SPECTRAL RATIO THEOREM on its generated dependency domain.,The three nonvacuum transfer poles are converted to generator gaps by the unique minimum-degree semigroup gap law. Their exact normalized native signature is generated without observed masses or a unit calibration.,TRUE
142,Primary,4,CHIRAL MATTER AND GENERATIONS,theorem_native_mixing_invariant,NATIVE MIXING INVARIANT THEOREM,Execute the exact certificate for NATIVE MIXING INVARIANT THEOREM on its generated dependency domain.,Ordered generation gaps determine an antisymmetric overlap generator with no fitted angle. The Cayley transform gives an exact rational determinant-one mixing matrix and a doubly normalized probability matrix.,TRUE
143,Primary,4,CHIRAL MATTER AND GENERATIONS,_mfc_mass_mixing_cp_ratio_theorem,MASS MIXING AND CP RATIO THEOREM,"Generate positive three-sector mass ledgers, exact rational unitary mixing matrices, and nonzero CP-oriented invariants without importing observed masses or angles.","Generate positive three-sector mass ledgers, exact rational unitary mixing matrices, and nonzero CP-oriented invariants without importing observed masses or angles.",TRUE
144,Primary,4,CHIRAL MATTER AND GENERATIONS,_mfc_representation_index_scale_flow_theorem,REPRESENTATION INDEX SCALE FLOW THEOREM,Derive one-loop representation-index coefficients from the generated matter carrier and prove an exact rational discrete inverse-coupling flow without logarithms.,Derive one-loop representation-index coefficients from the generated matter carrier and prove an exact rational discrete inverse-coupling flow without logarithms.,TRUE
145,Primary,4,CHIRAL MATTER AND GENERATIONS,_mfc_parent_matter_coupling_theorem,PARENT MATTER COUPLING THEOREM,"Couple the generated chiral matter ledger to the parent force carrier and prove exact charge balance, Yukawa closure, generation replication, and source assembly.","Couple the generated chiral matter ledger to the parent force carrier and prove exact charge balance, Yukawa closure, generation replication, and source assembly.",TRUE
146,Primary,4,CHIRAL MATTER AND GENERATIONS,_mfc_matter_ratio_seal_theorem,MATTER RATIO SEAL THEOREM,Execute the exact certificate for MATTER RATIO SEAL THEOREM on its generated dependency domain.,This theorem supplies the generated object required by the next causal stage.,TRUE
147,Primary,4,CHIRAL MATTER AND GENERATIONS,_x893_forward_chiral_prediction_packet_theorem,FORWARD CHIRAL PREDICTION PACKET THEOREM,Generate a sealed forward matter-and-observable ratio packet without importing measured values.,"The packet is generated entirely from the native carrier, anomaly equations, temporal projectors, and projection decoder. It is frozen before any external ratio table is supplied.",TRUE
148,Primary,4,CHIRAL MATTER AND GENERATIONS,_origin_matter_field_completion_theorem,ORIGIN MATTER FIELD COMPLETION THEOREM,"Integrate minimal chiral matter, primitive charge ratios, exact anomaly cancellation, three nonvacuum generations, mixing, scale flow, parent coupling, and sealed ratio predictions.","Integrate minimal chiral matter, primitive charge ratios, exact anomaly cancellation, three nonvacuum generations, mixing, scale flow, parent coupling, and sealed ratio predictions.",TRUE
149,Primary,4,CHIRAL MATTER AND GENERATIONS,_nsr_generation_readout_separation_theorem,GENERATION READOUT SEPARATION THEOREM,Keep outer sign as a generated readout while deriving three generations only from the three nonvacuum primitive-time projectors.,Keep outer sign as a generated readout while deriving three generations only from the three nonvacuum primitive-time projectors.,TRUE
150,Primary,4,CHIRAL MATTER AND GENERATIONS,_nsr_parent_matter_action_theorem,NESTED PARENT MATTER ACTION THEOREM,Place the forty-eight-state matter burden in the common nested mode and retain the complete seventeen-dimensional force residual action.,Place the forty-eight-state matter burden in the common nested mode and retain the complete seventeen-dimensional force residual action.,TRUE
151,Primary,4,CHIRAL MATTER AND GENERATIONS,theorem_fermion_car_spin_bridge,FERMION CAR SPIN BRIDGE THEOREM,"Construct three exact fermion modes, canonical anticommutation, parity, chirality, and the spinorial double-cover sign.","Three Jordan-Wigner modes satisfy every canonical anticommutation relation and carry exact fermion parity. The nontrivial center of the spin double cover reverses spinors while leaving vector observables unchanged, joining half-integer spin and odd fermion parity.",TRUE
152,Primary,4,CHIRAL MATTER AND GENERATIONS,theorem_native_higgs_potential_uniqueness,NATIVE HIGGS POTENTIAL UNIQUENESS THEOREM,"Classify the lowest invariant radial potential and derive one vacuum orbit, one radial mode, one gauge mode, and the neutral split.",The lowest radial invariant polynomial with one normalized closed vacuum and stationary closure is uniquely one quarter of the squared closure defect. Its Hessian has one positive radial mode and one gauge-orbit zero mode; generated Abelian and weak readouts then give one neutral and one massive direction.,TRUE
153,Primary,4,CHIRAL MATTER AND GENERATIONS,theorem_native_matter_fingerprint_generation,NATIVE MATTER FINGERPRINT GENERATION THEOREM,"Generate anonymous matter roles from native projectors, charges, closure origins, and temporal generations before observed names are introduced.","The generated chiral carrier is anonymized before any observed particle name is admitted. Color rank, weak rank, central character, closure origin, orientation support, multiplicity, Higgs incidence and neutrality form six exact distinct native role fingerprints.",TRUE
154,Primary,4,CHIRAL MATTER AND GENERATIONS,theorem_native_role_existence,NATIVE ROLE EXISTENCE THEOREM,Prove that every generated anonymous role is nonempty and that the six roles exhaust the complete sixteen-state chiral carrier in each of three temporal generations.,Prove that every generated anonymous role is nonempty and that the six roles exhaust the complete sixteen-state chiral carrier in each of three temporal generations.,TRUE
155,Primary,4,CHIRAL MATTER AND GENERATIONS,theorem_native_role_orbit_injectivity,NATIVE ROLE ORBIT INJECTIVITY THEOREM,Quotient internal seat permutations and prove that no nontrivial permutation of the six anonymous role orbits preserves the complete native fingerprint map.,"Every permutation of the six role orbits is exhausted after internal seat permutations are quotiented. Only the identity preserves all fingerprints, and the inverse fingerprint map reconstructs every role exactly.",TRUE
156,Primary,4,CHIRAL MATTER AND GENERATIONS,theorem_native_role_separation_stability,NATIVE ROLE SEPARATION STABILITY THEOREM,Compute an exact positive fingerprint separation margin and prove nearest-orbit stability under admissible rank-preserving rational perturbations.,The exact minimum distance between distinct role fingerprints and between temporal generation gaps is computed. Triangle inequality gives a positive rational neighborhood in which the inverse role and generation assignment remains single valued.,TRUE
157,Primary,4,CHIRAL MATTER AND GENERATIONS,theorem_admissible_observable_grammar_completeness,ADMISSIBLE OBSERVABLE GRAMMAR COMPLETENESS THEOREM,Prove representation theorems for every polynomial semigroup gap and every normalized separately multi-affine response functional admitted by the native observable axioms.,"Polynomial semigroup multiplicativity forces one monomial, endpoint normalization fixes its coefficient, and unit tangent fixes its degree. Separately multi-affine response laws that vanish when a required factor vanishes are uniquely the normalized product of all factors.",TRUE
158,Primary,4,CHIRAL MATTER AND GENERATIONS,theorem_native_mass_definition_equivalence,NATIVE MASS DEFINITION EQUIVALENCE THEOREM,"Derive one native mass-ratio spectrum independently as a transfer defect, a one-step correlation decrement, a generator-resolvent pole, a parent quadratic curvature, and a projected action burden.","Transfer defect, correlation decrement, generator-resolvent pole, parent curvature and projected action burden are derived independently. All five paths yield the same exact scale-free generation mass ratio rather than selecting one convenient formula after comparison.",TRUE
159,Primary,4,CHIRAL MATTER AND GENERATIONS,theorem_shadow_mass_compression_rate_equivalence,SHADOW MASS COMPRESSION RATE EQUIVALENCE THEOREM,Transport the independently derived native mass ratio into equivalent discrete compression-depth and continuous generator-rate representations.,"The already independent transfer, correlation, resolvent, curvature, and action definitions give the same 4:6:7 mass signature. The same signature is now proved to be both an additive compression depth ratio and a common continuum-generator rate ratio.",TRUE
160,Primary,4,CHIRAL MATTER AND GENERATIONS,theorem_anonymous_matter_spectrum_mixing_completion,ANONYMOUS MATTER SPECTRUM MIXING COMPLETION THEOREM,"Generate anonymous chiral roles, three causal generations, sector mass ledgers, unitary mixing, and nonzero orientation invariants before any observed particle name or measured value is supplied.","Matter roles are first distinguished by anonymous gauge and occupancy fingerprints. Temporal pole order then fixes the three generation order uniquely. Positive mass ledgers, unitary mixing matrices, and nonzero orientation invariants are generated before any experimental particle name is attached.",TRUE
161,Primary,4,CHIRAL MATTER AND GENERATIONS,theorem_parent_action_chiral_vertex_completion,PARENT ACTION CHIRAL VERTEX COMPLETION THEOREM,"Derive every chiral gauge and Yukawa vertex from the generated parent action, anonymous role fingerprints, exact charges and three temporal generation projectors.","The sixteen-state chiral carrier is placed in one-to-one correspondence with six anonymous role orbits. Their color, weak, central-charge and universal metric indices determine every parent gauge incidence, while the exact charge ray determines four closed Yukawa vertex types in each of the three temporal generations.",TRUE
162,Primary,4,CHIRAL MATTER AND GENERATIONS,theorem_parent_vertex_decay_amplitude_completion,PARENT VERTEX DECAY AMPLITUDE COMPLETION THEOREM,Derive direct and intermediate generation-changing channel weights from parent vertices and the exact rational unitary quark-like and lepton-like mixing operators.,"The parent gauge and Yukawa vertices select the chiral role orbit. The exact unitary generation rotations supply one-step transition probabilities. Strict generation descent makes the transition operator nilpotent, so the complete direct-plus-intermediate path sum is the finite inverse of one minus the weighted transition operator.",TRUE
163,Primary,4,CHIRAL MATTER AND GENERATIONS,theorem_parent_decay_branching_ratio_completion,PARENT DECAY BRANCHING RATIO COMPLETION THEOREM,"Derive normalized two-body generation-branch ratios and total-width ratios directly from the parent-vertex path weights, native mass gaps and role multiplicities.","Every branch numerator is the unique separately homogeneous product of a complete parent-vertex path weight, the native generation-gap phase-space ratio and the generated role multiplicity. Dividing by the complete width at fixed initial state gives a unique normalized branching packet.",TRUE
164,Primary,4,CHIRAL MATTER AND GENERATIONS,theorem_parent_decay_rg_scattering_completion,PARENT DECAY RG SCATTERING COMPLETION THEOREM,"Transport parent-derived branch and scattering ratios through every generated threshold scale while preserving normalization, channel support and the projective common-compression invariant.",The four parent-sector coordinates run with the generated thresholds. At each scale they rescale the complete width of every role while leaving the fixed-initial normalized branching packet unchanged. The same scale set carries the exact unitary differential scattering ratios and the projective common-compression invariant.,TRUE
165,Primary,4,CHIRAL MATTER AND GENERATIONS,theorem_matter_channel_dynamics_completion,MATTER CHANNEL DYNAMICS COMPLETION THEOREM,"Close one dependency chain from the eighteen-state origin through chiral matter, parent vertices, decay amplitudes, branching ratios, differential scattering and scale transport.","The primitive relational grammar generates time, three temporal generations and a minimal chiral carrier. The single parent action then supplies the role vertices, unitary mixing supplies descending amplitudes, native gaps supply phase-space ratios, and the threshold flow transports the resulting branching and scattering packets.",TRUE
166,Primary,4,CHIRAL MATTER AND GENERATIONS,theorem_matter_anomaly_generation_ratio_completion,MATTER ANOMALY GENERATION RATIO COMPLETION THEOREM,"Close chiral carrier, charge ratios, anomaly cancellation, three temporal generations, mixing, decay, branching, scattering and ratio flow.","The matter branch is generated after the parent carrier: chiral roles, exact charge ratios, anomaly cancellation, three temporal generations, mixing, complete finite paths, normalized branching and common ratio flow form one dependency chain.",TRUE
167,Primary,4,CHIRAL MATTER AND GENERATIONS,theorem_native_decay_selection_channel_completeness,NATIVE DECAY SELECTION AND CHANNEL COMPLETENESS THEOREM,"Classify every ordered role-generation transition, impose native conservation rules, and sum all direct and intermediate descending paths by an exact nilpotent path expansion.","Every ordered role-generation pair is classified by fingerprint conservation and strict temporal descent. Nilpotence closes the direct and intermediate path expansion exactly, so no admitted native path is omitted.",TRUE
168,Primary,4,CHIRAL MATTER AND GENERATIONS,theorem_native_branching_functional_uniqueness,NATIVE BRANCHING FUNCTIONAL UNIQUENESS THEOREM,"Use the unique normalized multi-affine product rule to derive every native generation-branch numerator, normalized branching packet, and scale-free total-width ratio.","Each branch numerator is the unique normalized multi-affine product of path weight, role multiplicity, native phase space and symmetry factor. Every unstable state has a complete branching packet summing to one, while the lightest state in each role has zero declared width.",TRUE
169,Primary,4,CHIRAL MATTER AND GENERATIONS,_nsr_ratio_seal_theorem,NESTED RESIDUAL RATIO SEAL THEOREM,Execute the exact certificate for NESTED RESIDUAL RATIO SEAL THEOREM on its generated dependency domain.,This theorem supplies the generated object required by the next causal stage.,TRUE
170,Narrative,4,CHIRAL MATTER AND GENERATIONS,prove_mass_ionization_separation,MASS IONIZATION SEPARATION,Execute the exact certificate for MASS IONIZATION SEPARATION on its generated dependency domain.,This theorem supplies the generated object required by the next causal stage.,TRUE
171,Narrative,4,CHIRAL MATTER AND GENERATIONS,prove_gravity_inertia_projection,GRAVITY INERTIA PROJECTION,Execute the exact certificate for GRAVITY INERTIA PROJECTION on its generated dependency domain.,This theorem supplies the generated object required by the next causal stage.,TRUE
172,Narrative,4,CHIRAL MATTER AND GENERATIONS,prove_strong_weak_projection,STRONG WEAK PROJECTION,Execute the exact certificate for STRONG WEAK PROJECTION on its generated dependency domain.,This theorem supplies the generated object required by the next causal stage.,TRUE
173,Narrative,4,CHIRAL MATTER AND GENERATIONS,prove_four_force_master_ratio_map,FOUR FORCE MASTER RATIO MAP,Execute the exact certificate for FOUR FORCE MASTER RATIO MAP on its generated dependency domain.,This theorem supplies the generated object required by the next causal stage.,TRUE
174,Narrative,4,CHIRAL MATTER AND GENERATIONS,prove_all_force_dependency_closure,ALL FORCE DEPENDENCY CLOSURE,Execute the exact certificate for ALL FORCE DEPENDENCY CLOSURE on its generated dependency domain.,This theorem supplies the generated object required by the next causal stage.,TRUE
175,Narrative,4,CHIRAL MATTER AND GENERATIONS,prove_force_dictionary_family_selector,FORCE DICTIONARY GAUGE NORMALIZATION AND FAMILY SELECTOR,Execute the exact certificate for FORCE DICTIONARY GAUGE NORMALIZATION AND FAMILY SELECTOR on its generated dependency domain.,This theorem supplies the generated object required by the next causal stage.,TRUE
176,Narrative,4,CHIRAL MATTER AND GENERATIONS,prove_multi_electron_nonabelian_gravity_measure,MULTI ELECTRON MATTER AND NONABELIAN GRAVITY MEASURE,Execute the exact certificate for MULTI ELECTRON MATTER AND NONABELIAN GRAVITY MEASURE on its generated dependency domain.,This theorem supplies the generated object required by the next causal stage.,TRUE
177,Narrative,4,CHIRAL MATTER AND GENERATIONS,prove_unified_shadow_latent_projection,UNIFIED SHADOW AND NATIVE LATENT OBJECT PROJECTION,Execute the exact certificate for UNIFIED SHADOW AND NATIVE LATENT OBJECT PROJECTION on its generated dependency domain.,This theorem supplies the generated object required by the next causal stage.,TRUE
178,Narrative,4,CHIRAL MATTER AND GENERATIONS,prove_atomic_spectral_mixing_joint_continuum,ATOMIC SPECTRAL MATTER MIXING AND JOINT CONTINUUM,Execute the exact certificate for ATOMIC SPECTRAL MATTER MIXING AND JOINT CONTINUUM on its generated dependency domain.,This theorem supplies the generated object required by the next causal stage.,TRUE
179,Narrative,4,CHIRAL MATTER AND GENERATIONS,prove_projection_lie_higgs_coframe_continuum,PROJECTION RECONSTRUCTION LIE GAUGE HIGGS COFRAME AND CONTINUUM,Execute the exact certificate for PROJECTION RECONSTRUCTION LIE GAUGE HIGGS COFRAME AND CONTINUUM on its generated dependency domain.,This theorem supplies the generated object required by the next causal stage.,TRUE
180,Narrative,4,CHIRAL MATTER AND GENERATIONS,prove_local_bundle_confinement_affine_lorentz_action,LOCAL GAUGE BUNDLE CONFINEMENT AFFINE COVARIANCE AND LORENTZ ACTION,Execute the exact certificate for LOCAL GAUGE BUNDLE CONFINEMENT AFFINE COVARIANCE AND LORENTZ ACTION on its generated dependency domain.,This theorem supplies the generated object required by the next causal stage.,TRUE
181,Narrative,4,CHIRAL MATTER AND GENERATIONS,prove_charge_nullspace_palation_selection,CHARGE NULLSPACE OPERATOR ALPHABET AND PALATINI SELECTION,Execute the exact certificate for CHARGE NULLSPACE OPERATOR ALPHABET AND PALATINI SELECTION on its generated dependency domain.,This theorem supplies the generated object required by the next causal stage.,TRUE
182,Narrative,4,CHIRAL MATTER AND GENERATIONS,prove_de_rham_maxwell_galerkin_refinement,DE RHAM MAXWELL PULLBACK NATURALITY AND GALERKIN REFINEMENT,Execute the exact certificate for DE RHAM MAXWELL PULLBACK NATURALITY AND GALERKIN REFINEMENT on its generated dependency domain.,This theorem supplies the generated object required by the next causal stage.,TRUE
183,Narrative,4,CHIRAL MATTER AND GENERATIONS,prove_chiral_generator_wilson_projective_dynamics,CHIRAL GAUGE GENERATOR WILSON SELECTOR AND PROJECTIVE DYNAMICS,Execute the exact certificate for CHIRAL GAUGE GENERATOR WILSON SELECTOR AND PROJECTIVE DYNAMICS on its generated dependency domain.,This theorem supplies the generated object required by the next causal stage.,TRUE
184,Narrative,4,CHIRAL MATTER AND GENERATIONS,prove_global_strong_field_variational_refinement,GLOBAL STRONG FIELD CURVATURE AND VARIATIONAL REFINEMENT,Execute the exact certificate for GLOBAL STRONG FIELD CURVATURE AND VARIATIONAL REFINEMENT on its generated dependency domain.,This theorem supplies the generated object required by the next causal stage.,TRUE
185,Narrative,4,CHIRAL MATTER AND GENERATIONS,prove_continuum_chiral_action_einstein_hierarchy,CONTINUUM CHIRAL PACKET NATIVE ACTION AND EINSTEIN HIERARCHY,Execute the exact certificate for CONTINUUM CHIRAL PACKET NATIVE ACTION AND EINSTEIN HIERARCHY on its generated dependency domain.,This theorem supplies the generated object required by the next causal stage.,TRUE
186,Primary,5,ELECTROMAGNETIC AND QUANTUM CONSEQUENCES,_u883_maxwell_from_open_balanced_zero_theorem,OPEN BALANCED ZERO MAXWELL MODE THEOREM,Derive exact vacuum Maxwell identities from the open balanced two-polarization carrier.,Derive exact vacuum Maxwell identities from the open balanced two-polarization carrier.,TRUE
